leaf_name	OG1	OG2	OG3	OG4	trait
s0	0.12270753200673153	0.7244880006198942	-1.3121242344129518	-0.5085528216073648	0.8030395512296615
s1	0.5991518378102496	-0.215596401426908	-0.3042841264605309	-0.24154592636386565	1.4245998835009386
s2	-0.6209153385090906	-0.5923230811971889	0.6590720511731919	0.7402391974435752	-0.41798513998570164
s3	0.07876254290959635	1.4088561820930752	-0.8337356349005199	0.5983734586897698	0.5095554835610754
s4	0.8722845436578432	1.8483440835780385	0.5129315971336146	-0.14803395649907558	2.4278576263854807
s5	0.6762484261605846	0.07300879776944619	0.536223259439379	1.0261996673320541	1.5407012694875357
s6	0.25106252273488716	0.00443514016721738	0.48077753267907225	0.4302505823694685	0.9508116481941815
s7	-0.45971079472643034	-0.7542165226585738	1.2899913461261492	0.814894305626709	-0.4616118131755152
s8	0.5459787023005306	0.5968289516257079	1.5279445230841366	0.4863925850624354	1.6143843148973103
s9	-0.24690144483874873	1.0465547385810312	0.743838367628005	1.4382988630759312	-0.009077846166218163
s10	1.4877102857840871	-0.160831670779697	-0.6364523459956367	-1.3037222513855788	3.2946075788948943
s11	1.0782114557621434	-1.9902864130247395	1.5431748870147217	-1.7182240079810955	2.612887367661711
s12	0.06534987137506755	0.3821859376581871	1.6990227663956226	0.6419355811972891	0.9696862417191516
s13	-1.2556802841359371	0.6361624449940093	-1.8673605083314673	-0.24784224334276345	-2.1332523611113334
s14	-0.8023675912009159	-0.44384475100920057	-1.200783530423025	1.3026388684171852	-1.152300493760028
s15	0.010797804650688825	-1.0681719167476231	-1.2763298890327388	0.620366173120614	0.43602796813606337
s16	1.0965054637380653	-0.2691843186089197	-0.07991591234813054	-0.19662004930119847	2.906668664927704
s17	0.7166596817590122	0.876510332312646	1.2456232370391918	0.657477225603097	2.0357211807206497
