branch_id	parent	node_class	name	trait	observed_value	observed_se	is_imputed	mean	variance	sd	ci_lower	ci_upper	ci_level
0	-1	root	Root	x			False	-0.027455397400880266	0.11656195994606434	0.3414117161815985	-0.6966100650168241	0.6416992702150635	0.95
1	0	intnode	Left	x			False	-0.04556394384110457	0.11073430135605904	0.3327676386851027	-0.6977765308843433	0.6066486432021343	0.95
2	0	intnode	Right	x			False	1.6529066836226916	0.06682430377871464	0.25850397246215506	1.1462482077363338	2.1595651595090493	0.95
3	1	intnode	AB	x			False	-0.07901047545229767	0.06006001539942486	0.2450714495803721	-0.5593416902688506	0.40132073936425533	0.95
4	1	intnode	CD	x			False	-0.48042483378641226	0.08146583060096026	0.28542219710625216	-1.0398420605029588	0.07899239293013433	0.95
5	2	intnode	EF	x			False	1.928601679603558	0.05456974752245418	0.23360168561560976	1.4707507890691147	2.3864525701380015	0.95
6	2	intnode	GH	x			False	1.971326377977805	0.05916633324549102	0.24324130661853266	1.4945821774530168	2.4480705785025934	0.95
7	3	leaf	A	x	-0.4	0.1	False	-0.3773811531155385	0.009593565437810455	0.09794674796954952	-0.5693532515386772	-0.18540905469239977	0.95
8	3	leaf	B	x	0.2	0.1	False	0.18033924866455103	0.009593565437810455	0.09794674796954952	-0.011632849758587693	0.37231134708768976	0.95
9	4	leaf	C	x	-0.9	0.1	False	-0.9077969716421339	0.008870810537448865	0.09418498042389171	-1.0923961411575718	-0.7231978021266962	0.95
10	4	leaf	D	x			True	-0.9611460450211669	0.07739892033547274	0.2782066144711027	-1.5064209896453478	-0.4158711003969858	0.95
11	5	leaf	E	x	2.0	0.1	False	2.0317422590507266	0.008817119189712187	0.09389951645089653	1.847702588641243	2.21578192946021	0.95
12	5	leaf	F	x	3.0	0.1	False	3.009265232571497	0.009301248151190685	0.09644297875527634	2.8202404676493935	3.1982899974936	0.95
13	6	leaf	G	x	2.8	0.1	False	2.733485948272541	0.00882936380927092	0.09396469448293289	2.5493185312676827	2.917653365277399	0.95
14	6	leaf	H	x	2.1	0.1	False	2.125506553776747	0.00882936380927092	0.09396469448293289	1.9413391367718889	2.3096739707816045	0.95
